CustomerID,Name,Region,JoinDate,CreditScore,IndustryType,StandardDateTime
1000,Robert Gomez,WEST,2024-02-25,720.0,Retail,2024-02-25
1001,John Silva,EAST,2020-12-01,785.0,Technology,2020-12-01
1002,Mark Marshall,CENTRAL,2020-08-08,810.0,Healthcare,2020-08-08
1003,David Brennan,NORTH,2020-05-21,795.0,Manufacturing,2020-05-21
1004,Kerry Collins,NORTH,2023-09-12,680.0,Education,2023-09-12
1005,Jessica Mora,SOUTH,2021-08-05,745.0,Retail,2021-08-05
1006,Hannah Ray,WEST,2021-07-03,760.0,Technology,2021-07-03
1007,David Kim,WEST,2020-05-20,820.0,Healthcare,2020-05-20
1008,William Ramirez,EAST,2023-09-15,655.0,Manufacturing,2023-09-15
1009,Zachary Bell Jr.,EAST,2023-04-20,690.0,Education,2023-04-20
1010,Mike Davis,EAST,2022-03-23,725.0,Retail,2022-03-23
1011,Amanda Myers,WEST,2021-09-05,770.0,Technology,2021-09-05
1012,Tara Miller,NORTH,2020-08-10,805.0,Healthcare,2020-08-10
1013,Alyssa Morgan,NORTH,2022-07-22,710.0,Manufacturing,2022-07-22
1014,Cindy Woods,EAST,2024-04-02,625.0,Education,2024-04-02
1015,Jennifer Rodgers,NORTH,2023-02-12,695.0,Retail,2023-02-12
1016,Andrea Roberts,EAST,2021-05-16,755.0,Technology,2021-05-16
1017,Brittney Burnett,NORTH,2020-07-03,815.0,Healthcare,2020-07-03
1018,Edwin Garrison,SOUTH-WEST,2020-08-31,790.0,Manufacturing,2020-08-31
1019,Michelle Torres,CENTRAL,2020-11-18,780.0,Education,2020-11-18
1020,Michelle Brewer,EAST,2021-07-14,765.0,Retail,2021-07-14
1021,Aaron Burnett,SOUTH,2024-02-13,640.0,Technology,2024-02-13
1022,Austin Gutierrez,EAST,2021-11-25,775.0,Healthcare,2021-11-25
1023,Dustin Medina,EAST,2021-06-14,750.0,Manufacturing,2021-06-14
1024,Andres Avila,CENTRAL,2022-09-19,715.0,Education,2022-09-19
1025,Garrett Lewis,SOUTH,2023-08-04,670.0,Retail,2023-08-04
1026,Gary Walls,NORTH,2023-10-05,685.0,Technology,2023-10-05
1027,Anthony Schroeder,EAST,2020-10-04,800.0,Healthcare,2020-10-04
1028,Haley Wagner,WEST,2023-11-03,660.0,Manufacturing,2023-11-03
1029,Gina Powers,WEST,2022-10-26,720.0,Education,2022-10-26
1030,Alice Robinson,EAST,2021-08-06,755.0,Retail,2021-08-06
1031,Jessica Frazier,WEST,2021-10-20,765.0,Technology,2021-10-20
1032,Terri Long,EAST,2022-10-23,730.0,Healthcare,2022-10-23
1033,Paul Perkins,EAST,2022-03-16,735.0,Manufacturing,2022-03-16
1034,Heather Smith,CENTRAL,2022-09-16,720.0,Education,2022-09-16
1035,Lorraine Rodriguez,EAST,2022-09-26,725.0,Retail,2022-09-26
1036,Robert Bishop,SOUTH-WEST,2020-09-14,795.0,Technology,2020-09-14
1037,Lisa Sanders,WEST,2020-06-03,825.0,Healthcare,2020-06-03
1038,Jason Ford,EAST,2023-10-09,675.0,Manufacturing,2023-10-09
1039,Brandy Good,WEST,2023-05-21,700.0,Education,2023-05-21
1040,Angel Lee,CENTRAL,2022-04-08,740.0,Retail,2022-04-08
1041,David Beltran,EAST,2021-01-18,770.0,Technology,2021-01-18
1042,Christopher Dodson,NORTH,2023-10-30,680.0,Healthcare,2023-10-30
1043,Eric Pena,WEST,2022-06-30,735.0,Manufacturing,2022-06-30
1044,Anita Huerta,EAST,2022-04-08,Unknown,Retail,2022-04-08
1045,Dr. Susan Bailey,NORTH,2020-10-02,810.0,Technology,2020-10-02
1046,Tyler Colon,CENTRAL,2021-03-03,775.0,Healthcare,2021-03-03
1047,Ashley Pearson,WEST,2020-10-04,805.0,Manufacturing,2020-10-04
1048,Dr. Donald Proctor,NORTH,2024-03-17,630.0,Education,2024-03-17
1049,Rebecca Jordan,WEST,2022-10-08,725.0,Retail,2022-10-08
1050,Jeffrey Mclaughlin,EAST,2022-03-28,745.0,Technology,2022-03-28
1051,Amy Nguyen,CENTRAL,2024-02-13,645.0,Healthcare,2024-02-13
1052,Brandon Hinton,SOUTH-WEST,2022-11-10,720.0,Manufacturing,2022-11-10
1053,Benjamin Cline,EAST,2022-01-25,750.0,Education,2022-01-25
1054,Laura Mcdonald,SOUTH,2022-12-03,715.0,Retail,2022-12-03
1055,William Benitez,EAST,2020-11-04,800.0,Technology,2020-11-04
1056,Kristina Wilson,EAST,2023-05-15,690.0,Healthcare,2023-05-15
1057,Kathy Hall,NORTH,2023-10-27,675.0,Manufacturing,2023-10-27
1058,Steven Jackson,CENTRAL,2020-06-26,815.0,Education,2020-06-26
1059,Steve Massey,WEST,2020-08-06,805.0,Retail,2020-08-06
1060,Mr. Christopher Thompson,SOUTH,2023-04-10,695.0,Technology,2023-04-10
1061,Taylor Kaufman,NORTH,2021-07-23,760.0,Healthcare,2021-07-23
1062,Ashley Harmon,SOUTH,2024-02-13,640.0,Manufacturing,2024-02-13
1063,Howard Case,SOUTH-WEST,2021-02-15,775.0,Education,2021-02-15
1064,Joshua Cline,EAST,2024-02-19,650.0,Retail,2024-02-19
1065,Daniel Adams,CENTRAL,2023-07-02,685.0,Technology,2023-07-02
1066,Derrick Myers,NORTH,2022-04-06,740.0,Healthcare,2022-04-06
1067,Lawrence Pearson,EAST,2023-04-29,700.0,Manufacturing,2023-04-29
1068,Melissa Gutierrez,EAST,2023-12-25,665.0,Education,2023-12-25
1069,Virginia Warren,NORTH,2023-08-24,680.0,Retail,2023-08-24
1070,Brittany Johnson,EAST,2021-06-04,755.0,Technology,2021-06-04
1071,Christopher Frost,EAST,2020-08-21,795.0,Healthcare,2020-08-21
1072,Shannon Schmitt,EAST,2022-08-23,730.0,Manufacturing,2022-08-23
1073,Matthew Clark,CENTRAL,2023-08-21,685.0,Education,2023-08-21
1074,Alyssa Evans,WEST,2021-10-27,760.0,Retail,2021-10-27
1075,Joseph Chavez,NORTH,2023-01-01,705.0,Technology,2023-01-01
1076,Glenn Shelton,EAST,2024-05-01,620.0,Healthcare,2024-05-01
1077,Amy Espinoza,NORTH,2021-05-29,765.0,Manufacturing,2021-05-29
1078,Danielle Fuller,SOUTH-WEST,2023-12-08,670.0,Education,2023-12-08
1079,Zachary Thompson MD,EAST,2022-09-05,725.0,Retail,2022-09-05
1080,Thomas Parker,SOUTH-WEST,2023-02-28,695.0,Technology,2023-02-28
1081,Ryan White,SOUTH,2020-09-04,800.0,Healthcare,2020-09-04
1082,Connor Martin,CENTRAL,2023-01-05,710.0,Manufacturing,2023-01-05
1083,Jacqueline Bishop,SOUTH,2020-06-05,820.0,Education,2020-06-05
1084,Martha Mccall,NORTH,2022-05-31,745.0,Retail,2022-05-31
1085,Steven Wright,CENTRAL,2021-08-22,765.0,Technology,2021-08-22
1086,Robert Rodriguez,EAST,2023-03-01,690.0,Healthcare,2023-03-01
1087,Carla Tran,EAST,2020-07-22,810.0,Manufacturing,2020-07-22
1088,Lindsay Torres,EAST,2021-12-30,755.0,Education,2021-12-30
1089,Matthew Hernandez,NORTH,2023-04-12,695.0,Retail,2023-04-12
1090,Nicholas Dunlap,SOUTH,2020-10-11,805.0,Technology,2020-10-11
1091,Brianna Thomas,SOUTH-WEST,2023-05-23,690.0,Healthcare,2023-05-23
1092,Timothy Hill,WEST,2023-09-07,680.0,Manufacturing,2023-09-07
1093,Christian Medina,EAST,2023-02-04,700.0,Education,2023-02-04
1094,Robert Jones,WEST,2023-11-18,665.0,Retail,2023-11-18
1095,Dr. Jason Scott,SOUTH,2021-04-07,770.0,Technology,2021-04-07
1096,Patricia Rogers,SOUTH,2024-01-10,655.0,Healthcare,2024-01-10
1097,Laura Jones,EAST,2023-12-07,670.0,Manufacturing,2023-12-07
1098,Jeffrey Maxwell,WEST,2022-01-27,750.0,Education,2022-01-27
1099,Lori Howard,EAST,2021-02-27,775.0,Retail,2021-02-27
1100,Michael Simon,EAST,2020-12-27,790.0,Technology,2020-12-27
1101,Ryan Martin,SOUTH-WEST,2020-11-14,800.0,Healthcare,2020-11-14
1102,Robert Hansen,CENTRAL,2022-11-19,715.0,Manufacturing,2022-11-19
1103,Megan Chandler,EAST,2023-06-25,695.0,Education,2023-06-25
1104,David Herrera,WEST,2021-04-01,770.0,Retail,2021-04-01
1105,Taylor Clarke,CENTRAL,2023-03-11,700.0,Technology,2023-03-11
1106,Jennifer Ewing,EAST,2023-05-16,690.0,Healthcare,2023-05-16
1107,Emily Hoffman,WEST,2023-06-09,695.0,Manufacturing,2023-06-09
1108,Sharon Bautista,CENTRAL,2022-07-31,735.0,Education,2022-07-31
1109,Aaron Garcia,EAST,2023-07-31,685.0,Retail,2023-07-31
1110,Melissa Grimes,SOUTH,2024-03-14,640.0,Technology,2024-03-14
1111,Ronald Chavez,SOUTH-WEST,2021-06-24,760.0,Healthcare,2021-06-24
1112,Joseph Flores,EAST,2021-04-03,775.0,Manufacturing,2021-04-03
1113,Louis Jones,CENTRAL,2021-07-04,765.0,Education,2021-07-04
1114,Grace Price,SOUTH,2022-03-25,745.0,Retail,2022-03-25
1115,Gina Banks,WEST,2023-09-16,675.0,Technology,2023-09-16
1116,Melissa Rivera,CENTRAL,2021-10-25,755.0,Healthcare,2021-10-25
1117,Amanda Lang,NORTH,2024-04-14,625.0,Manufacturing,2024-04-14
1118,Briana Alvarado,SOUTH,2022-03-18,740.0,Education,2022-03-18
1119,Cameron Hernandez,EAST,2022-08-08,735.0,Retail,2022-08-08
1120,Daniel Meyer,SOUTH,2024-03-15,645.0,Technology,2024-03-15
